編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOPMLLKKHOFFAH77CA,坡道平面,0,
RPVOMLSKKHOFFAH09CA,坡道平面,1200000,35.84
RPTNMLSKKHOFFAH78CA,坡道平面,1400000,43.76
RPPOMLSJLHOFFAH48CA,坡道平面,0,
RPTNMLOJLHOFFAH38CA,坡道平面,1250000,28.37
RPRNMLOJLHOFFAH18CA,坡道平面,1350000,27.14
RPPNMLPJLHOFFAH08CA,坡道平面,0,
RPXOMLPJLHOFFAH98CA,坡道平面,0,
RPRNMLKLKHOFFBH97CA,坡道平面,0,
RPPPMLMKKHOFFBH08CA,升降平面,0,
RPVNMLOJLHOFFBH68CA,坡道平面,1600000,36.96
RPWNMLOJLHOFFBH78CA,坡道平面,1600000,38.16
RPROMLNKKHOFFDH48CA,坡道平面,0,
RPROMLNKKHOFFDH48CA,坡道平面,0,
RPUNMLTKKHOFFCH56CA,坡道平面,1450000,30.35
RPQOMLMKLHOFFGH68CA,坡道平面,1600000,34.89
RPQPMLSKKHOFFAH78DA,坡道平面,1300000,31.80
RPPNMLSKKHOFFFH88CA,坡道平面,1450000,29.25
RPSOMLOKLHOFFAH68EA,坡道平面,0,
RPSOMLOKLHOFFAH68EA,坡道平面,0,
RPSNMLQJLHOFFBH68DA,坡道平面,760000,31.10
RPQNMLQJLHOFFBH48DA,坡道平面,820000,31.10
RPQNMLQJLHOFFBH48DA,坡道平面,720000,31.10
RPUPMLSKKHOFFAH56DA,坡道平面,1200000,27.86
RPXNMLPLKHOFFEH86DA,坡道平面,1200000,
RPWNMLMKKHOFFAH58DA,坡道平面,0,47.39
RPUNMLMLKHOFFGH09DA,坡道平面,0,41.85
RPPOMLMKLHOFFGH58CA,坡道平面,1500000,34.89
RPXNMLMKLHOFFGH66CA,坡道平面,1100000,31.93
RPWNMLLLLHOFFGH56CA,坡道平面,1400000,34.89
RPVNMLOKKHOFFFH09CA,坡道平面,0,32.21
RPOOMLOKKHOFFGH58CA,坡道平面,1550000,42.36
RPTNMLOKKHOFFGH98CA,坡道平面,1300000,27.07
RPPOMLOKKHOFFGH68CA,坡道平面,1500000,42.36
RPUNMLOKKHOFFGH09CA,坡道平面,1350000,27.07
RPOOMLNKKHOFFFH38CA,坡道平面,1200000,16.84
RPPNMLKKLHOFFEH08CA,坡道平面,1450000,26.69
RPPNMLKKLHOFFEH08CA,坡道平面,1450000,26.69
RPTNMLNKKHOFFCH48CA,坡道平面,1225000,34.74
RPTNMLNKKHOFFCH48CA,坡道平面,1225000,34.74
RPSTMLPKKHOFFDH66CA,坡道平面,0,19.81
RPWOMLLLKHOFFCH78CA,坡道平面,1100000,24.58
RPXNMLKLKHOFFBH58CA,坡道平面,1600000,31.29
RPOOMLKLKHOFFBH77CA,坡道平面,1400000,31.29
RPROMLKLKHOFFBH08CA,坡道平面,1300000,31.29
RPXQMLSKKHOFFBH96CA,升降機械,650000,11.49
RPVNMLTKKHOFFBH56CA,坡道平面,1000000,12.10
RPOSMLSKKHOFFBH88CA,坡道平面,0,
RPWNMLTKKHOFFBH66CA,坡道平面,400000,12.10
RPRNMLNKKHOFFBH18CA,坡道平面,1350000,33.03
RPVPMLNKKHOFFBH78CA,坡道平面,1350000,36.15
RPWPMLNKKHOFFBH88CA,坡道平面,1350000,33.03
RPPOMLNKKHOFFBH08CA,坡道平面,0,38.75
RPPPMLNKKHOFFBH18CA,坡道平面,0,24.28
RPSNMLNKKHOFFBH28CA,坡道平面,1350000,33.03
RPSPMLNKKHOFFBH48CA,坡道平面,0,32.98
RPSPMLNKKHOFFBH48CA,坡道平面,0,32.98
RPSQMLLLKHOFFBH48CA,坡道平面,0,
RPUNMLNKKHOFFBH48CA,坡道平面,0,
RPXOMLQLKHOFFAH56CA,坡道平面,0,
RPXOMLQLKHOFFAH56CA,坡道平面,0,
RPRNMLNKLHOFFAH18CA,坡道機械,0,
RPSPMLNKLHOFFAH48CA,坡道平面,0,
RPXOMLNKKHOFFAH78CA,坡道平面,0,
RPTNMLPKKHOFFAH48CA,坡道平面,1700000,31.13
RPPPMLNKKHOFFAH08CA,坡道平面,0,
RPOOMLPKKHOFFAH08CA,坡道平面,1250000,36.33
RPPOMLPKKHOFFAH18CA,坡道平面,950000,36.33
RPPOMLPKKHOFFAH18CA,坡道平面,900000,36.33
RPORMLLLKHOFFAH08CA,坡道平面,0,
RPPQMLSJLHOFFAH68CA,坡道機械,0,30.22
RPPQMLSJLHOFFAH68CA,坡道機械,0,30.22
RPRQMLSJLHOFFAH88CA,坡道平面,1650000,37.36
RPOQMLSJLHOFFAH58CA,坡道平面,1650000,45.39
RPTQMLSJLHOFFAH09CA,坡道平面,1150000,26.96
RPUPMLNKKHOFFBH68CA,坡道平面,1100000,36.15
RPWNMLNKKHOFFBH68CA,坡道平面,1350000,33.03
RPUOMLQJLHOFFAH78CA,坡道平面,1850000,33.70
SPUOMLQJLHOFFAH88CA,坡道平面,1850000,33.70
SPUOMLQJLHOFFAH88CA,坡道平面,1850000,33.70
RPSOMLQJLHOFFAH58CA,坡道平面,1850000,33.70
RPWPMLMKLHOFFAH78CA,坡道機械,900000,30.22
RPOPMLOKKHOFFBH18CA,一樓平面,0,
RPUNMLTKKHOFFBH09CA,坡道平面,0,26.56
RPTOMLOKKHOFFBH58CA,一樓平面,0,
RPUOMLMKLHOFFAH48CA,坡道平面,0,37.73
RPRRMLMLKHOFFBH58CA,坡道平面,1200000,41.71
RPUNMLPKKHOFFBH68CA,坡道機械,0,
RPQPMLSJLHOFFBH78CA,坡道平面,0,
RPWOMLSJLHOFFBH66CA,坡道平面,0,
RPURMLSJLHOFFBH76CA,坡道平面,1100000,26.46
RPQNMLTJLHOFFBH68CA,坡道平面,0,31.38
RPROMLLKLHOFFBH18CA,坡道平面,1450000,40.14
RPOPMLMKLHOFFBH08CA,坡道平面,1300000,34.30
RPTNMLOKKHOFFCH58CA,坡道平面,0,22.10
RPPNMLRLKHOFFDH68CA,坡道平面,1300000,32.85
RPQNMLRLKHOFFDH78CA,坡道平面,1300000,32.85
RPRNMLRLKHOFFDH88CA,坡道平面,1250000,31.76
RPWNMLSKKHOFFCH66CA,坡道平面,0,33.06
RPWOMLSKKHOFFEH96CA,坡道平面,0,
RPPNMLLLKHOFFFH28CA,坡道平面,1400000,29.97
RPWNMLMLKHOFFFH09CA,坡道平面,0,28.59
RPWNMLMLKHOFFFH09CA,坡道平面,0,28.59
RPRNMLLLKHOFFFH48CA,坡道平面,0,33.00
RPRNMLLLKHOFFFH48CA,坡道平面,0,33.00
RPVNMLPKKHOFFEH09CA,坡道平面,1350000,20.69
RPVNMLPKKHOFFEH09CA,坡道平面,1350000,20.69
RPWNMLPKKHOFFEH56CA,坡道平面,1400000,20.69
RPWNMLPKKHOFFEH56CA,坡道平面,1400000,20.69
RPUOMLMLKHOFFEH88CA,坡道平面,0,34.03
RPUOMLMLKHOFFEH88CA,坡道平面,0,34.03
RPSNMLLLKHOFFFH58CA,坡道平面,1400000,29.97
RPWOMLQLKHOFFGH07CA,坡道平面,1450000,37.77
RPPNMLRKKHOFFFH78CA,坡道平面,0,
RPXOMLQLKHOFFGH17CA,坡道平面,1350000,37.77
